model,year,price,mileage,tax,mpg,engineSize,transmission_Automatic,transmission_Manual,transmission_Semi-Auto,fuelType_Diesel,fuelType_Hybrid,fuelType_Petrol,state_New,state_Used
0,2017,11495,35290.0,150,57.6,1,0,1,0,0,0,1,0,1
1,2016,15990,42395.0,30,60.1,1,0,1,0,0,0,1,0,1
5,2019,20834,5880.0,145,49.6,3,0,1,0,1,0,0,0,1
2,2016,15995,19912.0,145,51.4,1,0,1,0,0,0,1,0,1
6,2016,17200,39603.0,160,50.4,5,1,0,0,1,0,0,0,1
6,2019,34990,2240.0,145,38.2,2,1,0,0,0,0,1,0,1
6,2019,35990,1250.0,145,38.2,2,1,0,0,0,0,1,0,1
4,2017,20499,29095.0,145,55.4,5,1,0,0,1,0,0,0,1
2,2016,16000,37655.0,20,68.9,5,0,1,0,1,0,0,0,1
4,2013,13695,46206.0,145,55.4,6,0,0,1,1,0,0,0,1
4,2019,30000,5999.0,145,47.9,5,1,0,0,1,0,0,0,1
1,2016,11990,14946.0,30,57.6,1,0,1,0,0,0,1,0,1
3,2017,20485,34679.0,30,65.7,5,0,1,0,1,0,0,0,1
4,2019,27485,6000.0,145,50.4,5,1,0,0,1,0,0,0,1
4,2019,26888,21343.0,150,50.4,5,0,0,1,1,0,0,0,1
4,2016,18243,46331.0,150,55.4,5,0,0,1,1,0,0,0,1
2,2020,40900,1964.0,145,40.4,6,0,0,1,1,0,0,0,1
7,2019,34583,6051.0,145,38.2,5,0,0,1,1,0,0,0,1
6,2019,27950,0.0,145,42.8,5,0,1,0,1,0,0,1,0
4,2015,16985,34646.0,30,61.4,5,0,1,0,1,0,0,0,1
6,2016,17650,49841.0,160,50.4,5,1,0,0,1,0,0,0,1
6,2017,23490,16821.0,200,42.2,5,1,0,0,0,0,1,0,1
1,2019,22950,6605.0,145,51.4,5,1,0,0,1,0,0,0,1
5,2019,24290,7010.0,145,47.9,3,0,1,0,1,0,0,0,1
4,2019,36780,8231.0,145,34.0,5,1,0,0,0,0,1,0,1
0,2018,14990,5000.0,145,47.9,0,0,1,0,0,0,1,0,1
4,2020,30000,0.0,145,47.9,5,1,0,0,1,0,0,1,0
